tiporesiduo,bairro,regiao,endereco,complemento,observacao,lat,lon
"metal,isopor,papel,plastico,vidro",Ilha Joana Bezerra,Centro,Av. Beira Rio,Praça da Academia da Cidade,Ecoponto,-8046621,-34904167
"metal,isopor,papel,plastico,vidro",Madalena,Oeste,Rua José Múcio Monteiro,Estacionamento da FCAP-UPE,Ecoponto,-8061194,-34902833
"metal,isopor,papel,plastico,vidro",Torre,Oeste,Rua Prof. Barreto Campelo,Praça Prof. Barreto Campelo,Ecoponto,-8047006,-34913753
"metal,isopor,papel,plastico,vidro",Engenho do Meio,Oeste,Rua Antonio Curado,Praça da Academia da Cidade Arnaldo Assunção.,Ecoponto,-8057281,-34942328
"metal,isopor,papel,plastico,vidro",Iputinga,Oeste,Rua Bom Pastor,Praça do Bom Pastor,Ecoponto,-804891,-34940114
"metal,isopor,papel,plastico,vidro",Torre,Oeste,Rua Real da Torre,Centro Educacional Paulo Freire da Prefeitura,Ecoponto,-8045157,-34910046
"metal,isopor,papel,plastico,vidro",San Martin,Sudoeste,Rua Dezesseis de Outubro - Cordeiro,Em frente do Parque Arraial Novo do Bom Jesus,Ecoponto,-8058085,-34931176
"metal,isopor,papel,plastico,vidro",San Martin,Sudoeste,Rua Elphego Jorge de Souza,ao lado do CHESF - Companhia Hidroelétrica do São Francisco,Ecoponto,-8064149,-34931022
"metal,isopor,papel,plastico,vidro",San Martin,Sudoeste,Av.General San Martin,Academia da Cidade de San Martin.,Ecoponto,-8066808,-34927572
"metal,isopor,papel,plastico,vidro",Imbiribeira,Sul,Avenida Mascarenhas de Moraes,em frente à COPERGÁS,Ecoponto,-8087282,-34907481
eletrônico,San Martin,Sudoeste,"Rua Vinte e Um de Abril, 3370",EMPREL,EMPREL,-80676699,-34938081
eletrônico,Boa Vista,Centro,"Av. Conde da Boa Vista, 867",URB,URB,-80583029,-34888518
"metal,isopor,papel,plastico,vidro",Boa Viagem,Sul,"Rua Visc. de Jequitinhonha, 2674",,Ecoponto,-8136264,-34903703
eletrônico,Curado,Sudoeste,"Rodovia BR 232, s/n - Curado",,Jardim Botânico do Recife,-8076071,-34966706
eletrônico,Areias,Sudoeste,"Av. Recife, 3587 - Areias",Próximo ao Hospital Geral de Areias,EMLURB,-81020216,-34927986
eletrônico,Beberibe,Norte,"Rua Melânio de Barros Correia, 26",,ESCOLA PROFISSIONALIZANTE DE BEBERIBE ZULEIDE GOMES MONTEIRO,-80030577,-34899059
eletrônico,Casa Amarela,Noroeste,"Av. Norte Miguel Arraes, 5600",,ESCOLA PROFISSIONAL DOM BOSCO,-80215479,-34916639
eletrônico,Totó,Sudoeste,Av 11 de Agosto,Bidu Krause,ESCOLA PROFISSIONAL ANEXA AO CSU BIDU KRAUSE,-80797775,-34970345
pilhas e baterias,Casa Forte,Noroeste,"Dr. João Santos Filho, 255",,Shopping Plaza no estacionamento do térreo,-8036359,-34913042
pilhas e baterias,Boa Viagem,Sul,"Rua Padre Carapuceiro, 777",,Nagem Informática,-8120844,-34904384
pilhas e baterias,Casa Forte,Noroeste,"Praça Jorn. Francisco P. Queiroz, 310",,Hiper Bompreço de Casa Forte,-8037597,-3491375
pilhas e baterias,Casa Amarela,Noroeste,"Av. Norte Miguel Arraes de Alencar, 6061",,Deskontão Atacadista,-8021132,-34919673
pilhas e baterias,Iputinga,Oeste,"Av. Prof. Moraes Rego, 1235",,Universidade Federal de Pernambuco - UFPE,-8052328,-34945095
"metal,isopor,papel,plastico,vidro",Imbiribeira,Sul,Rua Nova Verona,Praça da Academia da Cidade/Lagoa do Araçá,Ecoponto,-8096588,-34915461
"metal,isopor,papel,plastico,vidro",Boa Viagem,Sul,Av. Barão de Souza Leão,Posto Tiradentes/BR.,Ecoponto,-8132921,-34912598
"metal,isopor,papel,plastico,vidro",Boa Viagem,Sul,Rua Marques de Valença,Lateral da Igreja Matriz de Boa Viagem,Ecoponto,-8131763,-34900649
"metal,isopor,papel,plastico,vidro",Boa Viagem,Sul,Av. Boa Viagem,Parque Dona Lindú,Ecoponto,-8140939,-34903304
"metal,isopor,papel,plastico,vidro",Boa Viagem,Sul,Rua Dr. Nilo Dornelas Câmara,Praça de Boa Viagem (calçada voltada para  a praia),Ecoponto,-8132314,-34900105
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas",Curado,Sudoeste,Rua Nelson de Sena,Em frente do : INST de Desenvol Econômico Social Produtivo,EcoEstação Totó,-8077703,-34971841
"metal,isopor,papel,plastico,vidro",Tejipió,Sudoeste,AV. Liberdade,Em frente do portão Cemitério Parque das Flores,Ecoponto,-8082139,-34960278
"metal,isopor,papel,plastico,vidro",Tejipió,Sudoeste,AV. Dr. José Rufino,Saída da Estação Tejipió,Ecoponto,-8090814,-34957087
"metal,isopor,papel,plastico,vidro",Barro,Sudoeste,Rua José Benedito Mouri Fernandes,Rua Cap. Ponciano,Ecoponto,-8095265,-3494353
